Location,Year,Value,rural pop,urban pop,electric_rural,electric_urban
NZL,2003,39454.0,13.779,86.221,5436.36666,34017.63334
NZL,2004,41264.0,13.719,86.281,5661.00816,35602.99184
NZL,2005,41515.0,13.659,86.341,5670.533850000001,35844.46614999999
NZL,2006,42123.0,13.6,86.4,5728.728,36394.272000000004
NZL,2007,42285.0,13.66,86.34,5776.131,36508.869
NZL,2008,42306.0,13.72,86.28,5804.383200000001,36501.6168
NZL,2009,42080.0,13.78,86.22,5798.624,36281.376
NZL,2010,43457.0,13.84,86.16,6014.4488,37442.551199999994
NZL,2011,43108.0,13.9,86.1,5992.012000000001,37115.988
NZL,2012,42806.0,13.839,86.161,5923.922340000001,36882.07766
NZL,2013,41882.0,13.779,86.221,5770.9207799999995,36111.07922
NZL,2014,42239.0,13.719,86.281,5794.768410000001,36444.23159
NZL,2015,105209.8117405583,13.659,86.341,14370.608185642861,90839.20355491544
NOR,1960,180212.25889755905,50.08,49.92,90250.29925589758,89961.95964166148
NOR,1961,180212.25889755905,49.002,50.998,88307.61110498189,91904.64779257716
NOR,1962,180212.25889755905,47.347,52.653,85325.09822022729,94887.16067733176
NOR,1963,180212.25889755905,45.698,54.302,82353.39807100654,97858.86082655251
NOR,1964,180212.25889755905,44.056,55.944,79394.3127799086,100817.94611765044
NOR,1965,180212.25889755905,42.432,57.568,76467.66569541226,103744.59320214679
NOR,1966,180212.25889755905,40.821,59.179,73564.44620457257,106647.81269298648
NOR,1967,180212.25889755905,39.23,60.77,70697.2691655124,109514.98973204664
NOR,1968,180212.25889755905,37.66,62.34,67867.93670082073,112344.32219673833
NOR,1969,180212.25889755905,36.119,63.881,65090.865791209355,115121.3931063497
NOR,1970,180212.25889755905,34.604,65.396,62360.65006891134,117851.60882864772
NOR,1971,180212.25889755905,33.77,66.22999999999999,60857.6798297057,119354.57906785334
NOR,1972,180212.25889755905,33.275,66.725,59965.62914816277,120246.62974939626
NOR,1973,180212.25889755905,32.784,67.21600000000001,59080.78695697575,121131.4719405833
NOR,1974,180212.25889755905,32.297,67.703,58203.153256144644,122009.10564141441
NOR,1975,180212.25889755905,31.813,68.187,57330.92592308045,122881.33297447859
NOR,1976,180212.25889755905,31.333,68.667,56465.90708037218,123746.35181718688
NOR,1977,180212.25889755905,30.858,69.142,55609.89885060878,124602.36004695026
NOR,1978,180212.25889755905,30.386,69.614,54759.296988612296,125452.96190894677
NOR,1979,180212.25889755905,29.919,70.081,53917.7057395607,126294.55315799837
NOR,1980,180212.25889755905,29.455,70.545,53081.52085827602,127130.73803928304
NOR,1981,180212.25889755905,29.213,70.787,52645.40719174392,127566.85170581515
NOR,1982,180212.25889755905,29.082,70.918,52409.32913258813,127802.92976497093
NOR,1983,180212.25889755905,28.951,71.049,52173.251073432315,128039.00782412673
NOR,1984,180212.25889755905,28.82,71.18,51937.17301427652,128275.08588328255
NOR,1985,180212.25889755905,28.69,71.31,51702.89707770969,128509.36181984936
NOR,1986,180212.25889755905,28.56,71.44,51468.62114114286,128743.63775641617
NOR,1987,180212.25889755905,28.43,71.57,51234.345204576035,128977.913692983
NOR,1988,180212.25889755905,28.301,71.699,51001.871390598186,129210.38750696086
NOR,1989,180212.25889755905,28.172,71.828,50769.39757662034,129442.86132093871
NOR,1990,180212.25889755905,28.044,71.956,50538.72588523146,129673.53301232758
NOR,1991,180212.25889755905,27.735,72.265,49981.870005238,130230.38889232105
NOR,1992,180212.25889755905,27.335,72.66499999999999,49261.02096964776,130951.23792791126
NOR,1993,180212.25889755905,26.939,73.061,48547.38042441344,131664.87847314563
NOR,1994,180212.25889755905,26.547,73.453,47840.948369535,132371.31052802404
NOR,1995,180212.25889755905,26.213,73.787,47239.03942481716,132973.2194727419
NOR,1996,180212.25889755905,25.938,74.062,46743.45571284887,133468.80318471018
NOR,1997,180212.25889755905,25.524,74.476,45997.376961012975,134214.88193654607
NOR,1998,180212.25889755905,24.973,75.027,45004.40741448742,135207.85148307163
NOR,1999,180212.25889755905,24.431,75.569,44027.65697126265,136184.6019262964
NOR,2000,180212.25889755905,23.98,76.02,43214.89968363466,136997.35921392438
NOR,2001,180212.25889755905,23.622,76.378,42569.739796781396,137642.51910077766
NOR,2002,180212.25889755905,23.267,76.733,41929.98627769506,138282.272619864
NOR,2003,180212.25889755905,22.916,77.084,41297.441248964635,138914.81764859444
NOR,2004,180212.25889755905,22.601,77.399,40729.77263343732,139482.48626412172
NOR,2005,180212.25889755905,22.325,77.675,40232.386798880056,139979.87209867898
NOR,2006,180212.25889755905,22.05,77.95,39736.80308691177,140475.45581064728
NOR,2007,180212.25889755905,21.766,78.23400000000001,39225.000271642704,140987.25862591635
NOR,2008,180212.25889755905,21.474,78.526,38698.780475661835,141513.47842189722
NOR,2009,180212.25889755905,21.185,78.815,38177.967047447884,142034.29185011116
NOR,2010,180212.25889755905,20.898,79.102,37660.75786441189,142551.50103314716
NOR,2011,180212.25889755905,20.545,79.455,37024.60859050351,143187.65030705553
NOR,2012,180212.25889755905,20.126,79.874,36269.51922572274,143942.73967183632
NOR,2013,180212.25889755905,19.714,80.286,35527.04471906479,144685.21417849427
NOR,2014,180212.25889755905,19.308,80.69200000000001,34795.3829479407,145416.87594961835
NOR,2015,105209.8117405583,18.909,81.09100000000001,19894.123302022166,85315.68843853615
NOR,1960,180212.25889755905,50.08,49.92,90250.29925589758,89961.95964166148
NOR,1961,180212.25889755905,49.002,50.998,88307.61110498189,91904.64779257716
NOR,1962,180212.25889755905,47.347,52.653,85325.09822022729,94887.16067733176
NOR,1963,180212.25889755905,45.698,54.302,82353.39807100654,97858.86082655251
NOR,1964,180212.25889755905,44.056,55.944,79394.3127799086,100817.94611765044
NOR,1965,180212.25889755905,42.432,57.568,76467.66569541226,103744.59320214679
NOR,1966,180212.25889755905,40.821,59.179,73564.44620457257,106647.81269298648
